image_id,student_id,signature_type,sample_no,filename,relative_path
IMG0036,STU004,genuine,6,genuine_06.png,images/STU004/genuine_06.png
IMG0037,STU004,genuine,7,genuine_07.png,images/STU004/genuine_07.png
IMG0038,STU004,genuine,8,genuine_08.png,images/STU004/genuine_08.png
IMG0039,STU004,genuine,9,genuine_09.png,images/STU004/genuine_09.png
IMG0040,STU004,genuine,10,genuine_10.png,images/STU004/genuine_10.png
IMG0041,STU005,genuine,1,genuine_01.png,images/STU005/genuine_01.png
IMG0042,STU005,genuine,2,genuine_02.png,images/STU005/genuine_02.png
IMG0043,STU005,genuine,3,genuine_03.png,images/STU005/genuine_03.png
IMG0044,STU005,genuine,4,genuine_04.png,images/STU005/genuine_04.png
IMG0045,STU005,genuine,5,genuine_05.png,images/STU005/genuine_05.png
IMG0046,STU005,genuine,6,genuine_06.png,images/STU005/genuine_06.png
IMG0047,STU005,genuine,7,genuine_07.png,images/STU005/genuine_07.png
IMG0048,STU005,genuine,8,genuine_08.png,images/STU005/genuine_08.png
IMG0049,STU005,genuine,9,genuine_09.png,images/STU005/genuine_09.png
IMG0050,STU005,genuine,10,genuine_10.png,images/STU005/genuine_10.png
IMG0051,STU006,genuine,1,genuine_01.png,images/STU006/genuine_01.png
IMG0052,STU006,genuine,2,genuine_02.png,images/STU006/genuine_02.png
IMG0053,STU006,genuine,3,genuine_03.png,images/STU006/genuine_03.png
IMG0054,STU006,genuine,4,genuine_04.png,images/STU006/genuine_04.png
IMG0055,STU006,genuine,5,genuine_05.png,images/STU006/genuine_05.png
IMG0056,STU006,genuine,6,genuine_06.png,images/STU006/genuine_06.png
IMG0057,STU006,genuine,7,genuine_07.png,images/STU006/genuine_07.png
IMG0058,STU006,genuine,8,genuine_08.png,images/STU006/genuine_08.png
IMG0059,STU006,genuine,9,genuine_09.png,images/STU006/genuine_09.png
IMG0060,STU006,genuine,10,genuine_10.png,images/STU006/genuine_10.png
IMG0061,STU007,genuine,1,genuine_01.png,images/STU007/genuine_01.png
IMG0062,STU007,genuine,2,genuine_02.png,images/STU007/genuine_02.png
IMG0063,STU007,genuine,3,genuine_03.png,images/STU007/genuine_03.png
IMG0064,STU007,genuine,4,genuine_04.png,images/STU007/genuine_04.png
IMG0065,STU007,genuine,5,genuine_05.png,images/STU007/genuine_05.png
IMG0066,STU007,genuine,6,genuine_06.png,images/STU007/genuine_06.png
IMG0067,STU007,genuine,7,genuine_07.png,images/STU007/genuine_07.png
IMG0068,STU007,genuine,8,genuine_08.png,images/STU007/genuine_08.png
IMG0069,STU007,genuine,9,genuine_09.png,images/STU007/genuine_09.png
IMG0070,STU007,genuine,10,genuine_10.png,images/STU007/genuine_10.png
IMG0071,STU008,genuine,1,genuine_01.png,images/STU008/genuine_01.png
IMG0072,STU008,genuine,2,genuine_02.png,images/STU008/genuine_02.png
IMG0073,STU008,genuine,3,genuine_03.png,images/STU008/genuine_03.png
IMG0074,STU008,genuine,4,genuine_04.png,images/STU008/genuine_04.png
IMG0075,STU008,genuine,5,genuine_05.png,images/STU008/genuine_05.png
IMG0076,STU008,genuine,6,genuine_06.png,images/STU008/genuine_06.png
IMG0077,STU008,genuine,7,genuine_07.png,images/STU008/genuine_07.png
IMG0078,STU008,genuine,8,genuine_08.png,images/STU008/genuine_08.png
IMG0079,STU008,genuine,9,genuine_09.png,images/STU008/genuine_09.png
IMG0080,STU008,genuine,10,genuine_10.png,images/STU008/genuine_10.png
IMG0081,STU009,genuine,1,genuine_01.png,images/STU009/genuine_01.png
IMG0082,STU009,genuine,2,genuine_02.png,images/STU009/genuine_02.png
IMG0083,STU009,genuine,3,genuine_03.png,images/STU009/genuine_03.png
IMG0084,STU009,genuine,4,genuine_04.png,images/STU009/genuine_04.png
IMG0085,STU009,genuine,5,genuine_05.png,images/STU009/genuine_05.png
IMG0086,STU009,genuine,6,genuine_06.png,images/STU009/genuine_06.png
IMG0087,STU009,genuine,7,genuine_07.png,images/STU009/genuine_07.png
IMG0088,STU009,genuine,8,genuine_08.png,images/STU009/genuine_08.png
IMG0089,STU009,genuine,9,genuine_09.png,images/STU009/genuine_09.png
IMG0090,STU009,genuine,10,genuine_10.png,images/STU009/genuine_10.png
IMG0091,STU010,genuine,1,genuine_01.png,images/STU010/genuine_01.png
IMG0092,STU010,genuine,2,genuine_02.png,images/STU010/genuine_02.png
IMG0093,STU010,genuine,3,genuine_03.png,images/STU010/genuine_03.png
IMG0094,STU010,genuine,4,genuine_04.png,images/STU010/genuine_04.png
IMG0095,STU010,genuine,5,genuine_05.png,images/STU010/genuine_05.png
IMG0096,STU010,genuine,6,genuine_06.png,images/STU010/genuine_06.png
IMG0097,STU010,genuine,7,genuine_07.png,images/STU010/genuine_07.png
IMG0098,STU010,genuine,8,genuine_08.png,images/STU010/genuine_08.png
IMG0099,STU010,genuine,9,genuine_09.png,images/STU010/genuine_09.png
IMG0100,STU010,genuine,10,genuine_10.png,images/STU010/genuine_10.png
IMG0101,STU011,genuine,1,genuine_01.png,images/STU011/genuine_01.png
IMG0102,STU011,genuine,2,genuine_02.png,images/STU011/genuine_02.png
IMG0103,STU011,genuine,3,genuine_03.png,images/STU011/genuine_03.png
IMG0104,STU011,genuine,4,genuine_04.png,images/STU011/genuine_04.png
IMG0105,STU011,genuine,5,genuine_05.png,images/STU011/genuine_05.png
IMG0106,STU011,genuine,6,genuine_06.png,images/STU011/genuine_06.png
IMG0107,STU011,genuine,7,genuine_07.png,images/STU011/genuine_07.png
IMG0108,STU011,genuine,8,genuine_08.png,images/STU011/genuine_08.png
IMG0109,STU011,genuine,9,genuine_09.png,images/STU011/genuine_09.png
IMG0110,STU011,genuine,10,genuine_10.png,images/STU011/genuine_10.png
IMG0111,STU012,genuine,1,genuine_01.png,images/STU012/genuine_01.png
IMG0112,STU012,genuine,2,genuine_02.png,images/STU012/genuine_02.png
IMG0113,STU012,genuine,3,genuine_03.png,images/STU012/genuine_03.png
IMG0114,STU012,genuine,4,genuine_04.png,images/STU012/genuine_04.png
IMG0115,STU012,genuine,5,genuine_05.png,images/STU012/genuine_05.png
IMG0116,STU012,genuine,6,genuine_06.png,images/STU012/genuine_06.png
IMG0117,STU012,genuine,7,genuine_07.png,images/STU012/genuine_07.png
IMG0118,STU012,genuine,8,genuine_08.png,images/STU012/genuine_08.png
IMG0119,STU012,genuine,9,genuine_09.png,images/STU012/genuine_09.png
IMG0120,STU012,genuine,10,genuine_10.png,images/STU012/genuine_10.png
IMG0121,STU013,genuine,1,genuine_01.png,images/STU013/genuine_01.png
IMG0122,STU013,genuine,2,genuine_02.png,images/STU013/genuine_02.png
IMG0123,STU013,genuine,3,genuine_03.png,images/STU013/genuine_03.png
IMG0124,STU013,genuine,4,genuine_04.png,images/STU013/genuine_04.png
IMG0125,STU013,genuine,5,genuine_05.png,images/STU013/genuine_05.png
IMG0126,STU013,genuine,6,genuine_06.png,images/STU013/genuine_06.png
IMG0127,STU013,genuine,7,genuine_07.png,images/STU013/genuine_07.png
IMG0128,STU013,genuine,8,genuine_08.png,images/STU013/genuine_08.png
IMG0129,STU013,genuine,9,genuine_09.png,images/STU013/genuine_09.png
IMG0130,STU013,genuine,10,genuine_10.png,images/STU013/genuine_10.png
IMG0131,STU014,genuine,1,genuine_01.png,images/STU014/genuine_01.png
IMG0132,STU014,genuine,2,genuine_02.png,images/STU014/genuine_02.png
IMG0133,STU014,genuine,3,genuine_03.png,images/STU014/genuine_03.png
IMG0134,STU014,genuine,4,genuine_04.png,images/STU014/genuine_04.png
IMG0135,STU014,genuine,5,genuine_05.png,images/STU014/genuine_05.png
IMG0136,STU014,genuine,6,genuine_06.png,images/STU014/genuine_06.png
IMG0137,STU014,genuine,7,genuine_07.png,images/STU014/genuine_07.png
IMG0138,STU014,genuine,8,genuine_08.png,images/STU014/genuine_08.png
IMG0139,STU014,genuine,9,genuine_09.png,images/STU014/genuine_09.png
IMG0140,STU014,genuine,10,genuine_10.png,images/STU014/genuine_10.png
IMG0141,STU015,genuine,1,genuine_01.png,images/STU015/genuine_01.png
IMG0142,STU015,genuine,2,genuine_02.png,images/STU015/genuine_02.png
IMG0143,STU015,genuine,3,genuine_03.png,images/STU015/genuine_03.png
IMG0144,STU015,genuine,4,genuine_04.png,images/STU015/genuine_04.png
IMG0145,STU015,genuine,5,genuine_05.png,images/STU015/genuine_05.png
IMG0146,STU015,genuine,6,genuine_06.png,images/STU015/genuine_06.png
IMG0147,STU015,genuine,7,genuine_07.png,images/STU015/genuine_07.png
IMG0148,STU015,genuine,8,genuine_08.png,images/STU015/genuine_08.png
IMG0149,STU015,genuine,9,genuine_09.png,images/STU015/genuine_09.png
IMG0150,STU015,genuine,10,genuine_10.png,images/STU015/genuine_10.png
IMG0151,STU016,genuine,1,genuine_01.png,images/STU016/genuine_01.png
IMG0152,STU016,genuine,2,genuine_02.png,images/STU016/genuine_02.png
IMG0153,STU016,genuine,3,genuine_03.png,images/STU016/genuine_03.png
IMG0154,STU016,genuine,4,genuine_04.png,images/STU016/genuine_04.png
IMG0155,STU016,genuine,5,genuine_05.png,images/STU016/genuine_05.png
IMG0156,STU016,genuine,6,genuine_06.png,images/STU016/genuine_06.png
IMG0157,STU016,genuine,7,genuine_07.png,images/STU016/genuine_07.png
IMG0158,STU016,genuine,8,genuine_08.png,images/STU016/genuine_08.png
IMG0159,STU016,genuine,9,genuine_09.png,images/STU016/genuine_09.png
IMG0160,STU016,genuine,10,genuine_10.png,images/STU016/genuine_10.png
IMG0161,STU017,genuine,1,genuine_01.png,images/STU017/genuine_01.png
IMG0162,STU017,genuine,2,genuine_02.png,images/STU017/genuine_02.png
IMG0163,STU017,genuine,3,genuine_03.png,images/STU017/genuine_03.png
IMG0164,STU017,genuine,4,genuine_04.png,images/STU017/genuine_04.png
IMG0165,STU017,genuine,5,genuine_05.png,images/STU017/genuine_05.png
IMG0166,STU017,genuine,6,genuine_06.png,images/STU017/genuine_06.png
IMG0167,STU017,genuine,7,genuine_07.png,images/STU017/genuine_07.png
IMG0168,STU017,genuine,8,genuine_08.png,images/STU017/genuine_08.png
IMG0169,STU017,genuine,9,genuine_09.png,images/STU017/genuine_09.png
IMG0170,STU017,genuine,10,genuine_10.png,images/STU017/genuine_10.png
IMG0171,STU018,genuine,1,genuine_01.png,images/STU018/genuine_01.png
IMG0172,STU018,genuine,2,genuine_02.png,images/STU018/genuine_02.png
IMG0173,STU018,genuine,3,genuine_03.png,images/STU018/genuine_03.png
IMG0174,STU018,genuine,4,genuine_04.png,images/STU018/genuine_04.png
IMG0175,STU018,genuine,5,genuine_05.png,images/STU018/genuine_05.png
IMG0176,STU018,genuine,6,genuine_06.png,images/STU018/genuine_06.png
IMG0177,STU018,genuine,7,genuine_07.png,images/STU018/genuine_07.png
IMG0178,STU018,genuine,8,genuine_08.png,images/STU018/genuine_08.png
IMG0179,STU018,genuine,9,genuine_09.png,images/STU018/genuine_09.png
IMG0180,STU018,genuine,10,genuine_10.png,images/STU018/genuine_10.png
IMG0181,STU019,genuine,1,genuine_01.png,images/STU019/genuine_01.png
IMG0182,STU019,genuine,2,genuine_02.png,images/STU019/genuine_02.png
IMG0183,STU019,genuine,3,genuine_03.png,images/STU019/genuine_03.png
IMG0184,STU019,genuine,4,genuine_04.png,images/STU019/genuine_04.png
IMG0185,STU019,genuine,5,genuine_05.png,images/STU019/genuine_05.png
IMG0186,STU019,genuine,6,genuine_06.png,images/STU019/genuine_06.png
IMG0187,STU019,genuine,7,genuine_07.png,images/STU019/genuine_07.png
IMG0188,STU019,genuine,8,genuine_08.png,images/STU019/genuine_08.png
IMG0189,STU019,genuine,9,genuine_09.png,images/STU019/genuine_09.png
IMG0190,STU019,genuine,10,genuine_10.png,images/STU019/genuine_10.png
IMG0191,STU020,genuine,1,genuine_01.png,images/STU020/genuine_01.png
IMG0192,STU020,genuine,2,genuine_02.png,images/STU020/genuine_02.png
IMG0193,STU020,genuine,3,genuine_03.png,images/STU020/genuine_03.png
IMG0194,STU020,genuine,4,genuine_04.png,images/STU020/genuine_04.png
IMG0195,STU020,genuine,5,genuine_05.png,images/STU020/genuine_05.png
IMG0196,STU020,genuine,6,genuine_06.png,images/STU020/genuine_06.png
IMG0197,STU020,genuine,7,genuine_07.png,images/STU020/genuine_07.png
IMG0198,STU020,genuine,8,genuine_08.png,images/STU020/genuine_08.png
IMG0199,STU020,genuine,9,genuine_09.png,images/STU020/genuine_09.png
IMG0200,STU020,genuine,10,genuine_10.png,images/STU020/genuine_10.png
IMG0201,STU021,genuine,1,genuine_01.png,images/STU021/genuine_01.png
IMG0202,STU021,genuine,2,genuine_02.png,images/STU021/genuine_02.png
IMG0203,STU021,genuine,3,genuine_03.png,images/STU021/genuine_03.png
IMG0204,STU021,genuine,4,genuine_04.png,images/STU021/genuine_04.png
IMG0205,STU021,genuine,5,genuine_05.png,images/STU021/genuine_05.png
IMG0206,STU021,genuine,6,genuine_06.png,images/STU021/genuine_06.png
IMG0207,STU021,genuine,7,genuine_07.png,images/STU021/genuine_07.png
IMG0208,STU021,genuine,8,genuine_08.png,images/STU021/genuine_08.png
IMG0209,STU021,genuine,9,genuine_09.png,images/STU021/genuine_09.png
IMG0210,STU021,genuine,10,genuine_10.png,images/STU021/genuine_10.png
IMG0211,STU022,genuine,1,genuine_01.png,images/STU022/genuine_01.png
IMG0212,STU022,genuine,2,genuine_02.png,images/STU022/genuine_02.png
IMG0213,STU022,genuine,3,genuine_03.png,images/STU022/genuine_03.png
IMG0214,STU022,genuine,4,genuine_04.png,images/STU022/genuine_04.png
IMG0215,STU022,genuine,5,genuine_05.png,images/STU022/genuine_05.png
IMG0216,STU022,genuine,6,genuine_06.png,images/STU022/genuine_06.png
IMG0217,STU022,genuine,7,genuine_07.png,images/STU022/genuine_07.png
IMG0218,STU022,genuine,8,genuine_08.png,images/STU022/genuine_08.png
IMG0219,STU022,genuine,9,genuine_09.png,images/STU022/genuine_09.png
IMG0220,STU022,genuine,10,genuine_10.png,images/STU022/genuine_10.png
IMG0221,STU023,genuine,1,genuine_01.png,images/STU023/genuine_01.png
IMG0222,STU023,genuine,2,genuine_02.png,images/STU023/genuine_02.png
IMG0223,STU023,genuine,3,genuine_03.png,images/STU023/genuine_03.png
IMG0224,STU023,genuine,4,genuine_04.png,images/STU023/genuine_04.png
IMG0225,STU023,genuine,5,genuine_05.png,images/STU023/genuine_05.png
IMG0226,STU023,genuine,6,genuine_06.png,images/STU023/genuine_06.png
IMG0227,STU023,genuine,7,genuine_07.png,images/STU023/genuine_07.png
IMG0228,STU023,genuine,8,genuine_08.png,images/STU023/genuine_08.png
IMG0229,STU023,genuine,9,genuine_09.png,images/STU023/genuine_09.png
IMG0230,STU023,genuine,10,genuine_10.png,images/STU023/genuine_10.png
IMG0231,STU024,genuine,1,genuine_01.png,images/STU024/genuine_01.png
IMG0232,STU024,genuine,2,genuine_02.png,images/STU024/genuine_02.png
IMG0233,STU024,genuine,3,genuine_03.png,images/STU024/genuine_03.png
IMG0234,STU024,genuine,4,genuine_04.png,images/STU024/genuine_04.png
IMG0235,STU024,genuine,5,genuine_05.png,images/STU024/genuine_05.png
IMG0236,STU024,genuine,6,genuine_06.png,images/STU024/genuine_06.png
IMG0237,STU024,genuine,7,genuine_07.png,images/STU024/genuine_07.png
IMG0238,STU024,genuine,8,genuine_08.png,images/STU024/genuine_08.png
IMG0239,STU024,genuine,9,genuine_09.png,images/STU024/genuine_09.png
IMG0240,STU024,genuine,10,genuine_10.png,images/STU024/genuine_10.png
IMG0241,STU025,genuine,1,genuine_01.png,images/STU025/genuine_01.png
IMG0242,STU025,genuine,2,genuine_02.png,images/STU025/genuine_02.png
IMG0243,STU025,genuine,3,genuine_03.png,images/STU025/genuine_03.png
IMG0244,STU025,genuine,4,genuine_04.png,images/STU025/genuine_04.png
IMG0245,STU025,genuine,5,genuine_05.png,images/STU025/genuine_05.png
IMG0246,STU025,genuine,6,genuine_06.png,images/STU025/genuine_06.png
IMG0247,STU025,genuine,7,genuine_07.png,images/STU025/genuine_07.png
IMG0248,STU025,genuine,8,genuine_08.png,images/STU025/genuine_08.png
IMG0249,STU025,genuine,9,genuine_09.png,images/STU025/genuine_09.png
IMG0250,STU025,genuine,10,genuine_10.png,images/STU025/genuine_10.png
IMG0251,STU026,genuine,1,genuine_01.png,images/STU026/genuine_01.png
IMG0252,STU026,genuine,2,genuine_02.png,images/STU026/genuine_02.png
IMG0253,STU026,genuine,3,genuine_03.png,images/STU026/genuine_03.png
IMG0254,STU026,genuine,4,genuine_04.png,images/STU026/genuine_04.png
IMG0255,STU026,genuine,5,genuine_05.png,images/STU026/genuine_05.png
IMG0256,STU026,genuine,6,genuine_06.png,images/STU026/genuine_06.png
IMG0257,STU026,genuine,7,genuine_07.png,images/STU026/genuine_07.png
IMG0258,STU026,genuine,8,genuine_08.png,images/STU026/genuine_08.png
IMG0259,STU026,genuine,9,genuine_09.png,images/STU026/genuine_09.png
IMG0260,STU026,genuine,10,genuine_10.png,images/STU026/genuine_10.png
IMG0261,STU027,genuine,1,genuine_01.png,images/STU027/genuine_01.png
IMG0262,STU027,genuine,2,genuine_02.png,images/STU027/genuine_02.png
IMG0263,STU027,genuine,3,genuine_03.png,images/STU027/genuine_03.png
IMG0264,STU027,genuine,4,genuine_04.png,images/STU027/genuine_04.png
IMG0265,STU027,genuine,5,genuine_05.png,images/STU027/genuine_05.png
IMG0266,STU027,genuine,6,genuine_06.png,images/STU027/genuine_06.png
IMG0267,STU027,genuine,7,genuine_07.png,images/STU027/genuine_07.png
IMG0268,STU027,genuine,8,genuine_08.png,images/STU027/genuine_08.png
IMG0269,STU027,genuine,9,genuine_09.png,images/STU027/genuine_09.png
IMG0270,STU027,genuine,10,genuine_10.png,images/STU027/genuine_10.png
IMG0271,STU028,genuine,1,genuine_01.png,images/STU028/genuine_01.png
IMG0272,STU028,genuine,2,genuine_02.png,images/STU028/genuine_02.png
IMG0273,STU028,genuine,3,genuine_03.png,images/STU028/genuine_03.png
IMG0274,STU028,genuine,4,genuine_04.png,images/STU028/genuine_04.png
IMG0275,STU028,genuine,5,genuine_05.png,images/STU028/genuine_05.png
IMG0276,STU028,genuine,6,genuine_06.png,images/STU028/genuine_06.png
IMG0277,STU028,genuine,7,genuine_07.png,images/STU028/genuine_07.png
IMG0278,STU028,genuine,8,genuine_08.png,images/STU028/genuine_08.png
IMG0279,STU028,genuine,9,genuine_09.png,images/STU028/genuine_09.png
IMG0280,STU028,genuine,10,genuine_10.png,images/STU028/genuine_10.png
IMG0281,STU029,genuine,1,genuine_01.png,images/STU029/genuine_01.png
IMG0282,STU029,genuine,2,genuine_02.png,images/STU029/genuine_02.png
IMG0283,STU029,genuine,3,genuine_03.png,images/STU029/genuine_03.png
IMG0284,STU029,genuine,4,genuine_04.png,images/STU029/genuine_04.png
IMG0285,STU029,genuine,5,genuine_05.png,images/STU029/genuine_05.png
IMG0286,STU029,genuine,6,genuine_06.png,images/STU029/genuine_06.png
IMG0287,STU029,genuine,7,genuine_07.png,images/STU029/genuine_07.png
IMG0288,STU029,genuine,8,genuine_08.png,images/STU029/genuine_08.png
IMG0289,STU029,genuine,9,genuine_09.png,images/STU029/genuine_09.png
IMG0290,STU029,genuine,10,genuine_10.png,images/STU029/genuine_10.png
IMG0291,STU030,genuine,1,genuine_01.png,images/STU030/genuine_01.png
IMG0292,STU030,genuine,2,genuine_02.png,images/STU030/genuine_02.png
IMG0293,STU030,genuine,3,genuine_03.png,images/STU030/genuine_03.png
IMG0294,STU030,genuine,4,genuine_04.png,images/STU030/genuine_04.png
IMG0295,STU030,genuine,5,genuine_05.png,images/STU030/genuine_05.png
IMG0296,STU030,genuine,6,genuine_06.png,images/STU030/genuine_06.png
IMG0297,STU030,genuine,7,genuine_07.png,images/STU030/genuine_07.png
IMG0298,STU030,genuine,8,genuine_08.png,images/STU030/genuine_08.png
IMG0299,STU030,genuine,9,genuine_09.png,images/STU030/genuine_09.png
IMG0300,STU030,genuine,10,genuine_10.png,images/STU030/genuine_10.png
IMG0301,STU031,genuine,1,genuine_01.png,images/STU031/genuine_01.png
IMG0302,STU031,genuine,2,genuine_02.png,images/STU031/genuine_02.png
IMG0303,STU031,genuine,3,genuine_03.png,images/STU031/genuine_03.png
IMG0304,STU031,genuine,4,genuine_04.png,images/STU031/genuine_04.png
IMG0305,STU031,genuine,5,genuine_05.png,images/STU031/genuine_05.png
IMG0306,STU031,genuine,6,genuine_06.png,images/STU031/genuine_06.png
IMG0307,STU031,genuine,7,genuine_07.png,images/STU031/genuine_07.png
IMG0308,STU031,genuine,8,genuine_08.png,images/STU031/genuine_08.png
IMG0309,STU031,genuine,9,genuine_09.png,images/STU031/genuine_09.png
IMG0310,STU031,genuine,10,genuine_10.png,images/STU031/genuine_10.png
IMG0311,STU032,genuine,1,genuine_01.png,images/STU032/genuine_01.png
IMG0312,STU032,genuine,2,genuine_02.png,images/STU032/genuine_02.png
IMG0313,STU032,genuine,3,genuine_03.png,images/STU032/genuine_03.png
IMG0314,STU032,genuine,4,genuine_04.png,images/STU032/genuine_04.png
IMG0315,STU032,genuine,5,genuine_05.png,images/STU032/genuine_05.png
IMG0316,STU032,genuine,6,genuine_06.png,images/STU032/genuine_06.png
IMG0317,STU032,genuine,7,genuine_07.png,images/STU032/genuine_07.png
IMG0318,STU032,genuine,8,genuine_08.png,images/STU032/genuine_08.png
IMG0319,STU032,genuine,9,genuine_09.png,images/STU032/genuine_09.png
IMG0320,STU032,genuine,10,genuine_10.png,images/STU032/genuine_10.png
IMG0321,STU033,genuine,1,genuine_01.png,images/STU033/genuine_01.png
IMG0322,STU033,genuine,2,genuine_02.png,images/STU033/genuine_02.png
IMG0323,STU033,genuine,3,genuine_03.png,images/STU033/genuine_03.png
IMG0324,STU033,genuine,4,genuine_04.png,images/STU033/genuine_04.png
IMG0325,STU033,genuine,5,genuine_05.png,images/STU033/genuine_05.png
IMG0326,STU033,genuine,6,genuine_06.png,images/STU033/genuine_06.png
IMG0327,STU033,genuine,7,genuine_07.png,images/STU033/genuine_07.png
IMG0328,STU033,genuine,8,genuine_08.png,images/STU033/genuine_08.png
IMG0329,STU033,genuine,9,genuine_09.png,images/STU033/genuine_09.png
IMG0330,STU033,genuine,10,genuine_10.png,images/STU033/genuine_10.png
IMG0331,STU034,genuine,1,genuine_01.png,images/STU034/genuine_01.png
IMG0332,STU034,genuine,2,genuine_02.png,images/STU034/genuine_02.png
IMG0333,STU034,genuine,3,genuine_03.png,images/STU034/genuine_03.png
IMG0334,STU034,genuine,4,genuine_04.png,images/STU034/genuine_04.png
IMG0335,STU034,genuine,5,genuine_05.png,images/STU034/genuine_05.png
IMG0336,STU034,genuine,6,genuine_06.png,images/STU034/genuine_06.png
IMG0337,STU034,genuine,7,genuine_07.png,images/STU034/genuine_07.png
IMG0338,STU034,genuine,8,genuine_08.png,images/STU034/genuine_08.png
IMG0339,STU034,genuine,9,genuine_09.png,images/STU034/genuine_09.png
IMG0340,STU034,genuine,10,genuine_10.png,images/STU034/genuine_10.png
IMG0341,STU035,genuine,1,genuine_01.png,images/STU035/genuine_01.png
IMG0342,STU035,genuine,2,genuine_02.png,images/STU035/genuine_02.png
IMG0343,STU035,genuine,3,genuine_03.png,images/STU035/genuine_03.png
IMG0344,STU035,genuine,4,genuine_04.png,images/STU035/genuine_04.png
IMG0345,STU035,genuine,5,genuine_05.png,images/STU035/genuine_05.png
IMG0346,STU035,genuine,6,genuine_06.png,images/STU035/genuine_06.png
IMG0347,STU035,genuine,7,genuine_07.png,images/STU035/genuine_07.png
IMG0348,STU035,genuine,8,genuine_08.png,images/STU035/genuine_08.png
IMG0349,STU035,genuine,9,genuine_09.png,images/STU035/genuine_09.png
IMG0350,STU035,genuine,10,genuine_10.png,images/STU035/genuine_10.png
IMG0351,STU036,genuine,1,genuine_01.png,images/STU036/genuine_01.png
IMG0352,STU036,genuine,2,genuine_02.png,images/STU036/genuine_02.png
IMG0353,STU036,genuine,3,genuine_03.png,images/STU036/genuine_03.png
IMG0354,STU036,genuine,4,genuine_04.png,images/STU036/genuine_04.png
IMG0355,STU036,genuine,5,genuine_05.png,images/STU036/genuine_05.png
IMG0356,STU036,genuine,6,genuine_06.png,images/STU036/genuine_06.png
IMG0357,STU036,genuine,7,genuine_07.png,images/STU036/genuine_07.png
IMG0358,STU036,genuine,8,genuine_08.png,images/STU036/genuine_08.png
IMG0359,STU036,genuine,9,genuine_09.png,images/STU036/genuine_09.png
IMG0360,STU036,genuine,10,genuine_10.png,images/STU036/genuine_10.png
IMG0361,STU037,genuine,1,genuine_01.png,images/STU037/genuine_01.png
IMG0362,STU037,genuine,2,genuine_02.png,images/STU037/genuine_02.png
IMG0363,STU037,genuine,3,genuine_03.png,images/STU037/genuine_03.png
IMG0364,STU037,genuine,4,genuine_04.png,images/STU037/genuine_04.png
IMG0365,STU037,genuine,5,genuine_05.png,images/STU037/genuine_05.png
IMG0366,STU037,genuine,6,genuine_06.png,images/STU037/genuine_06.png
IMG0367,STU037,genuine,7,genuine_07.png,images/STU037/genuine_07.png
